hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
744,256,252,74.4,25.6,1000,10,900,FIFO,mixto_ordenado
930,70,66,93.0,7.0,1000,1,0,FIFO,estacional
930,70,66,93.0,7.0,1000,2,100,FIFO,estacional
930,70,66,93.0,7.0,1000,3,200,FIFO,estacional
930,70,66,93.0,7.0,1000,4,300,FIFO,estacional
930,70,66,93.0,7.0,1000,5,400,FIFO,estacional
930,70,66,93.0,7.0,1000,6,500,FIFO,estacional
930,70,66,93.0,7.0,1000,7,600,FIFO,estacional
930,70,66,93.0,7.0,1000,8,700,FIFO,estacional
930,70,66,93.0,7.0,1000,9,800,FIFO,estacional
930,70,66,93.0,7.0,1000,10,900,FIFO,estacional
144,856,852,14.4,85.6,1000,1,0,FIFO,repeticiones
153,847,843,15.3,84.7,1000,2,100,FIFO,repeticiones
166,834,830,16.6,83.4,1000,3,200,FIFO,repeticiones
156,844,840,15.6,84.4,1000,4,300,FIFO,repeticiones
165,835,831,16.5,83.5,1000,5,400,FIFO,repeticiones
134,866,862,13.4,86.6,1000,6,500,FIFO,repeticiones
153,847,843,15.3,84.7,1000,7,600,FIFO,repeticiones
157,843,839,15.7,84.3,1000,8,700,FIFO,repeticiones
144,856,852,14.4,85.6,1000,9,800,FIFO,repeticiones
142,858,854,14.2,85.8,1000,10,900,FIFO,repeticiones
177,823,819,17.7,82.3,1000,1,0,FIFO,uniforme
182,818,814,18.2,81.8,1000,2,100,FIFO,uniforme
209,791,787,20.9,79.1,1000,3,200,FIFO,uniforme
194,806,802,19.4,80.6,1000,4,300,FIFO,uniforme
199,801,797,19.9,80.1,1000,5,400,FIFO,uniforme
214,786,782,21.4,78.6,1000,6,500,FIFO,uniforme
200,800,796,20.0,80.0,1000,7,600,FIFO,uniforme
213,787,783,21.3,78.7,1000,8,700,FIFO,uniforme
217,783,779,21.7,78.3,1000,9,800,FIFO,uniforme
215,785,781,21.5,78.5,1000,10,900,FIFO,uniforme
845,155,151,84.5,15.5,1000,1,0,FIFO,exponencial
828,172,168,82.8,17.2,1000,2,100,FIFO,exponencial
849,151,147,84.9,15.1,1000,3,200,FIFO,exponencial
840,160,156,84.0,16.0,1000,4,300,FIFO,exponencial
815,185,181,81.5,18.5,1000,5,400,FIFO,exponencial
838,162,158,83.8,16.2,1000,6,500,FIFO,exponencial
844,156,152,84.4,15.6,1000,7,600,FIFO,exponencial
846,154,150,84.6,15.4,1000,8,700,FIFO,exponencial
842,158,154,84.2,15.8,1000,9,800,FIFO,exponencial
859,141,137,85.9,14.1,1000,10,900,FIFO,exponencial
0,1000,996,0.0,100.0,1000,1,0,Random,secuencial
0,1000,996,0.0,100.0,1000,2,100,Random,secuencial
0,1000,996,0.0,100.0,1000,3,200,Random,secuencial
0,1000,996,0.0,100.0,1000,4,300,Random,secuencial
0,1000,996,0.0,100.0,1000,5,400,Random,secuencial
0,1000,996,0.0,100.0,1000,6,500,Random,secuencial
0,1000,996,0.0,100.0,1000,7,600,Random,secuencial
0,1000,996,0.0,100.0,1000,8,700,Random,secuencial
0,1000,996,0.0,100.0,1000,9,800,Random,secuencial
